id	type	sample	Extract	Library_Input	Extract_Library_Input	Input	Library	QC	N50	Largest contig	Total length 0	Total length 1000	KMC	annotation_MP3	annotation_MP4	annotation_kraken2	order_kraken2	genus_mp4	nmds1	nmds2	NMDS1	NMDS2	genus_kraken2	duplicate
TS12AP1	Trench	TS12	MGI	PCR1	MGIPCR1	1	PCR	0.96071559	1507	364521	1238064998	596504056	1263399846	0.00032	11.53483	6.35486825	258	10	-0.453066786	0.108970867	-0.018656696	0.030247488	2035	0.527436
TS12MP01	Trench	TS12	MB	PCR0	MBPCR0	0	PCR	0.95792284	1561	278802	1126922314	527576252	1348300335	0.0286	10.59447	7.863506	258	28	-0.511230237	0.062376118	-0.076820147	-0.01634726	2041	0.528957
TS12MP1	Trench	TS12	MB	PCR1	MBPCR1	1	PCR	0.92819696	1386	166588	796507700	354126306	1086686465	0.01332	14.90229	8.299062949	259	16	-0.555948249	0.081119133	-0.121538159	0.002395754	2030	0.656816
TS16AP01	Trench	TS16	MGI	PCR0	MGIPCR0	0	PCR	0.96061073	1680	555752	1021330285	516143090	1208019922	0.00253	8.54776	6.51300241	256	14	-0.079450146	0.371491672	0.304866902	0.067382053	2036	0.56525
TS16AP1	Trench	TS16	MGI	PCR1	MGIPCR1	1	PCR	0.95830142	1684	690040	1450530040	733601174	1213895144	6.00E-05	11.17492	6.689260671	259	13	-0.326967252	0.367176121	0.057349796	0.063066502	2029	0.3462
TS16MP01	Trench	TS16	MB	PCR0	MBPCR0	0	PCR	0.96070308	1740	593979	1142611464	573442104	1256360354	0.16944	10.35531	7.724094108	260	23	-0.528315901	0.242518633	-0.143998852	-0.061590985	2041	0.489108
TS16MP1	Trench	TS16	MB	PCR1	MBPCR1	1	PCR	0.92540879	1731	593982	1509806714	758713462	1139472418	0.00628	13.46543	7.735780206	259	23	-0.602534895	0.235252049	-0.218217847	-0.06885757	2012	0.251773
TS24AP01	Trench	TS24	MGI	PCR0	MGIPCR0	0	PCR	0.95996819	1811	406916	1259444370	667835886	1237156767	4.00E-05	12.22289	6.679982802	257	11	-0.349078037	-0.352937887	0.229747642	-0.055076072	2028	0.438877
TS24AP1	Trench	TS24	MGI	PCR1	MGIPCR1	1	PCR	0.96030065	1719	390129	1267895947	659702232	1180122239	0.00014	15.66207	6.736915153	261	12	-0.615254299	-0.29880801	-0.03642862	-0.000946194	2018	0.442565
TS24MP01	Trench	TS24	MB	PCR0	MBPCR0	0	PCR	0.9588633	1872	829879	1308937073	685337492	1315536835	0.00173	8.67435	7.235750915	258	19	-0.582814595	-0.293605383	-0.003988916	0.004256433	2026	0.445995
TS24MP1	Trench	TS24	MB	PCR1	MBPCR1	1	PCR	0.93408754	1475	884273	726195760	345273325	971995901	0	12.49398	7.316145123	258	11	-0.768155785	-0.246095982	-0.189330106	0.051765833	2033	0.700564
TS2AP01	Trench	TS2	MGI	PCR0	MGIPCR0	0	PCR	0.94489795	1289	441205	959279152	407718275	1412404680	0.03855	11.10618	5.878060165	262	15	0.082753766	0.550670538	0.184863738	0.023004476	2045	0.655022
TS2AP1	Trench	TS2	MGI	PCR1	MGIPCR1	1	PCR	0.95948614	1305	436722	1567366744	669501215	1583991623	0.00073	14.10277	6.213500906	259	15	-0.101015669	0.529716834	0.001094303	0.002050772	2038	0.476176
TS2MP01	Trench	TS2	MB	PCR0	MBPCR0	0	PCR	0.92862575	1237	168069	1089620350	440153086	1476998779	0.04118	10.74143	7.305447862	258	29	-0.111852511	0.549164236	-0.009742539	0.021498174	2041	0.586225
TS2MP1	Trench	TS2	MB	PCR1	MBPCR1	1	PCR	0.95632651	1302	646998	2228821092	926399169	1609543853	0.04845	14.01277	7.788745708	261	31	-0.278325474	0.481112641	-0.176215502	-0.046553421	2037	0.263705
TS28AP01	Trench	TS28	MGI	PCR0	MGIPCR0	0	PCR	0.94196955	1319	428465	1099089627	453765043	1096659179	0.00121	1.7639	2.885925559	256	8	2.681583916	-0.129409035	0.111197447	-0.033630051	1996	0.440594
TS28AP1	Trench	TS28	MGI	PCR1	MGIPCR1	1	PCR	0.96313156	1290	280661	1175121339	475943148	1062332502	0.00239	1.93302	2.603990051	256	9	2.67854162	-0.122648458	0.108155151	-0.026869474	1992	0.446541
TS28MP01	Trench	TS28	MB	PCR0	MBPCR0	0	PCR	0.93596135	1214	809211	1061263815	425381018	1236946267	0.02293	2.01866	3.746892967	258	15	2.446640038	-0.057618957	-0.123746431	0.038160027	2025	0.511831
TS28MP1	Trench	TS28	MB	PCR1	MBPCR1	1	PCR	0.96001543	1161	682264	998849573	388261171	1196509777	0.003	2.53282	3.020914987	259	11	2.474780303	-0.073439486	-0.095606166	0.022339498	2013	0.61775
TS4AP01	Trench	TS4	MGI	PCR0	MGIPCR0	0	PCR	0.96248362	1287	834017	680716527	291414183	1093634512	0.00474	9.61921	6.743951653	260	11	-0.131623707	-0.21095948	0.366593198	-0.016347438	2040	0.747271
TS4AP1	Trench	TS4	MGI	PCR1	MGIPCR1	1	PCR	0.96549072	1654	1178200	2077518512	1002036034	1418751629	0.0021	10.01593	6.754384962	258	21	-0.38396169	-0.21686681	0.114255215	-0.022254769	2029	0.198307
TS4MP01	Trench	TS4	MB	PCR0	MBPCR0	0	PCR	0.96328598	1280	202433	1131719685	472132155	1481673271	0.01732	12.91863	7.907231246	258	29	-0.731580279	-0.20629747	-0.233363375	-0.011685428	2048	0.600169
TS4MP1	Trench	TS4	MB	PCR1	MBPCR1	1	PCR	0.93014997	1172	254935	965530260	377777567	1257246457	0.0155	17.42375	8.346832501	259	22	-0.745701943	-0.144324407	-0.247485038	0.050287634	2038	0.639459
