file	genome	secondary_cluster	threshold	cluster_method	comparison_algorithm	primary_cluster	pipeline	completeness	contamination	length	N50	contigs	GC (%)	tag	type
FDZ070-GBkY16-18AP1@2429.fna	FDZ070_GBkY16_18AP1_2429	207_2	0.01	average	ANImf	207	Pipeline3	76.69	0.85	2997082	13762	272	60.94	some	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.3.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.3	207_2	0.01	average	ANImf	207	Pipeline1	92.73	1.282	4356181	10497	645	60.79	some	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.157.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.157	207_2	0.01	average	ANImf	207	Pipeline2	93.59	2.56	4475746	10409	619	60.66	some	Trench
FDZ070-GBkY12-14AP1@2429.fna	FDZ070_GBkY12_14AP1_2429	207_3	0.01	average	ANImf	207	Pipeline3	80.77	2.19	3358828	14768	282	60.77	some	Trench
Pipeline1_FDZ070-GBkY12-14AP1_bin.2.fa	Pipeline1_FDZ070_GBkY12_14AP1_bin.2	207_3	0.01	average	ANImf	207	Pipeline1	92.3	2.617	4449985	11412	608	60.66	some	Trench
Pipeline2_FDZ070-GBkY12-14AP1_bin.41.fa	Pipeline2_FDZ070_GBkY12_14AP1_bin.41	207_3	0.01	average	ANImf	207	Pipeline2	92.44	5.93	4567881	11077	571	60.42	some	Trench
FDZ070-GBkY4-6AP1@2429.fna	FDZ070_GBkY4_6AP1_2429	207_4	0.01	average	ANImf	207	Pipeline3	55.18	0.84	2213025	12312	230	60.85	uniq	Trench
FDZ070-GBkY0-2AP1@2429.fna	FDZ070_GBkY0_2AP1_2429	207_5	0.01	average	ANImf	207	Pipeline3	60.89	0.89	2199208	11512	235	60.91	uniq	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.27.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.27	207_6	0.01	average	ANImf	207	Pipeline1	60.2	1.709	3114975	5324	648	60.23	uniq	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.23.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.23	208_1	0.01	average	ANImf	208	Pipeline1	59.82	0	4210229	40892	174	57.91	some	Trench
FDZ070-GBkY16-18AP1@3120.fna	FDZ070_GBkY16_18AP1_3120	208_1	0.01	average	ANImf	208	Pipeline3	96.6	2.22	7012635	37019	293	57.58	some	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.101.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.101	208_1	0.01	average	ANImf	208	Pipeline2	97.71	7.78	8413647	31852	508	57.33	some	Trench
FDZ070-GBkY24-26AP1@4959.fna	FDZ070_GBkY24_26AP1_4959	208_2	0.01	average	ANImf	208	Pipeline3	56.57	0	2818511	8382	377	57.63	some	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.38.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.38	208_2	0.01	average	ANImf	208	Pipeline1	66.97	1.111	4868395	5699	1023	57.95	some	Trench
FDZ070-GBkY4-6AP1@8676.fna	FDZ070_GBkY4_6AP1_8676	209_1	0.01	average	ANImf	209	Pipeline3	57.07	0.84	1975183	11921	198	57.57	some	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.87.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.87	209_1	0.01	average	ANImf	209	Pipeline2	84.76	2.52	3725685	7283	681	57.38	some	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.96.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.96	209_1	0.01	average	ANImf	209	Pipeline1	84.75	2.521	3723269	7283	680	57.38	some	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.3.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.3	209_2	0.01	average	ANImf	209	Pipeline1	74.28	2.735	3123697	6706	509	56.57	uniq	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.174.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.174	21_1	0.01	average	ANImf	21	Pipeline2	69.63	0	637394	29072	38	33.13	some	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.8.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.8	21_1	0.01	average	ANImf	21	Pipeline1	69.62	0	637394	29072	38	33.13	some	Trench
FDZ070-GBkY4-6AP1@16685.fna	FDZ070_GBkY4_6AP1_16685	21_2	0.01	average	ANImf	21	Pipeline3	64.02	1.87	502789	26871	34	33.5	uniq	Trench
Pipeline1_FDZ070-GBkY0-2AP1_bin.54.fa	Pipeline1_FDZ070_GBkY0_2AP1_bin.54	210_1	0.01	average	ANImf	210	Pipeline1	71.56	0.525	3024031	5385	670	59.39	some	Trench
Pipeline2_FDZ070-GBkY0-2AP1_bin.103.fa	Pipeline2_FDZ070_GBkY0_2AP1_bin.103	210_1	0.01	average	ANImf	210	Pipeline2	77.03	2.42	3357344	5087	801	59.46	some	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.2.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.2	210_2	0.01	average	ANImf	210	Pipeline2	64.15	1.07	3212273	7188	600	60.15	some	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.49.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.49	210_2	0.01	average	ANImf	210	Pipeline1	64.14	1.073	3212273	7188	600	60.15	some	Trench
Pipeline1_FDZ070-GBkY12-14AP1_bin.55.fa	Pipeline1_FDZ070_GBkY12_14AP1_bin.55	210_3	0.01	average	ANImf	210	Pipeline1	84.45	2.521	3669275	9861	462	59.2	some	Trench
Pipeline2_FDZ070-GBkY12-14AP1_bin.37.fa	Pipeline2_FDZ070_GBkY12_14AP1_bin.37	210_3	0.01	average	ANImf	210	Pipeline2	85.26	3.49	4368143	8196	709	59.04	some	Trench
FDZ070-GBkY4-6AP1@5652.fna	FDZ070_GBkY4_6AP1_5652	210_4	0.01	average	ANImf	210	Pipeline3	68.77	0	2483069	16725	169	59.27	some	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.2.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.2	210_4	0.01	average	ANImf	210	Pipeline1	91.16	1.187	3638065	13287	356	59.5	some	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.84.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.84	210_4	0.01	average	ANImf	210	Pipeline2	92.31	2.9	3959378	12236	484	59.58	some	Trench
Pipeline1_FDZ070-GBkY2-4AP1_bin.18.fa	Pipeline1_FDZ070_GBkY2_4AP1_bin.18	210_5	0.01	average	ANImf	210	Pipeline1	85.98	4.273	3327921	6455	619	59.13	uniq	Trench
bin.61.fa	bin.61	211_1	0.01	average	ANImf	211	Pipeline4	94.5	5.494	3733768	47442	151	64.18	all	Trench
FDZ070-GBkY28-30AP1@4864.fna	FDZ070_GBkY28_30AP1_4864	211_1	0.01	average	ANImf	211	Pipeline3	96.7	5.49	3735948	46968	150	64.14	all	Trench
Pipeline2_FDZ070-GBkY28-30AP1_bin.24.fa	Pipeline2_FDZ070_GBkY28_30AP1_bin.24	211_1	0.01	average	ANImf	211	Pipeline2	98.9	6.04	4130957	43250	194	63.8	all	Trench
Pipeline1_FDZ070-GBkY28-30AP1_bin.51.fa	Pipeline1_FDZ070_GBkY28_30AP1_bin.51	211_1	0.01	average	ANImf	211	Pipeline1	98.9	6.043	4128086	43250	193	63.8	all	Trench
FDZ070-GBkY16-18AP1@3187.fna	FDZ070_GBkY16_18AP1_3187	212_1	0.01	average	ANImf	212	Pipeline3	91.21	4.4	4668559	56873	114	64.38	some	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.168.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.168	212_1	0.01	average	ANImf	212	Pipeline2	98.84	5.49	5905085	45367	282	64.12	some	Trench
Pipeline1_FDZ070-GBkY12-14AP1_bin.20.fa	Pipeline1_FDZ070_GBkY12_14AP1_bin.20	212_1	0.01	average	ANImf	212	Pipeline1	92.24	3.296	4811018	26276	272	64.44	some	Trench
FDZ070-GBkY0-2AP1@4011.fna	FDZ070_GBkY0_2AP1_4011	213_0	0.01	average	ANImf	213	Pipeline3	86.1	2.2	2953577	15223	232	64.56	uniq	Trench
FDZ070-GBkY28-30AP1@5530.fna	FDZ070_GBkY28_30AP1_5530	214_1	0.01	average	ANImf	214	Pipeline3	51.88	0	1389596	8540	212	59.26	some	Trench
Pipeline2_FDZ070-GBkY28-30AP1_bin.1.fa	Pipeline2_FDZ070_GBkY28_30AP1_bin.1	214_1	0.01	average	ANImf	214	Pipeline2	83.96	2.55	2009318	6660	383	59.15	some	Trench
Pipeline1_FDZ070-GBkY28-30AP1_bin.6.fa	Pipeline1_FDZ070_GBkY28_30AP1_bin.6	214_1	0.01	average	ANImf	214	Pipeline1	85.88	1.285	1840819	5971	407	59.29	some	Trench
bin.113.fa	bin.113	214_2	0.01	average	ANImf	214	Pipeline4	65.51	1.724	1579689	25801	94	59.43	all	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.118.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.118	214_2	0.01	average	ANImf	214	Pipeline2	95.29	1.99	2125924	24931	147	59.29	all	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.52.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.52	214_2	0.01	average	ANImf	214	Pipeline1	94.2	1.775	2106518	24931	142	59.27	all	Trench
FDZ070-GBkY16-18AP1@3303.fna	FDZ070_GBkY16_18AP1_3303	214_2	0.01	average	ANImf	214	Pipeline3	94.09	1.34	2131833	23977	145	59.26	all	Trench
bin.118.fa	bin.118	215_1	0.01	average	ANImf	215	Pipeline4	75.65	1.304	2154338	69171	48	61.09	some	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.33.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.33	215_1	0.01	average	ANImf	215	Pipeline1	81.95	2.826	2551862	66001	74	60.98	some	Trench
FDZ070-GBkY4-6AP1@4012.fna	FDZ070_GBkY4_6AP1_4012	216_1	0.01	average	ANImf	216	Pipeline3	75.77	0.58	2007100	13568	182	60.14	some	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.112.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.112	216_1	0.01	average	ANImf	216	Pipeline2	91.6	2.99	2796027	11715	356	60.03	some	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.68.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.68	216_1	0.01	average	ANImf	216	Pipeline1	91.6	2.985	2796027	11715	356	60.03	some	Trench
FDZ070-GBkY16-18AP1@2923.fna	FDZ070_GBkY16_18AP1_2923	216_2	0.01	average	ANImf	216	Pipeline3	85.45	1.09	2492734	17372	209	60.14	some	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.138.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.138	216_2	0.01	average	ANImf	216	Pipeline2	94.58	1.52	3008535	15967	319	59.87	some	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.50.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.50	216_2	0.01	average	ANImf	216	Pipeline1	94.57	1.521	3008535	15967	319	59.87	some	Trench
FDZ070-GBkY4-6AP1@10201.fna	FDZ070_GBkY4_6AP1_10201	217_1	0.01	average	ANImf	217	Pipeline3	56.02	0	1551567	7515	222	58.24	all	Trench
bin.114.fa	bin.114	217_1	0.01	average	ANImf	217	Pipeline4	70.14	1.098	2226113	6342	420	58.32	all	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.68.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.68	217_1	0.01	average	ANImf	217	Pipeline2	78.39	0	2865188	5766	610	58.03	all	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.6.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.6	217_1	0.01	average	ANImf	217	Pipeline1	78.38	0	2865188	5766	610	58.03	all	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.134.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.134	218_1	0.01	average	ANImf	218	Pipeline2	61.18	0	1264631	295133	8	54.91	all	Trench
bin.75.fa	bin.75	218_1	0.01	average	ANImf	218	Pipeline4	93.35	0.289	1991336	274724	16	55.49	all	Trench
FDZ070-GBkY4-6AP1@27098.fna	FDZ070_GBkY4_6AP1_27098	218_1	0.01	average	ANImf	218	Pipeline3	93.35	0.14	1954805	274724	14	55.56	all	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.76.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.76	218_1	0.01	average	ANImf	218	Pipeline1	95.52	1.159	2101914	197094	25	55.6	all	Trench
FDZ070-GBkY24-26AP1@7144.fna	FDZ070_GBkY24_26AP1_7144	219_1	0.01	average	ANImf	219	Pipeline3	77.2	0.43	2647077	19793	169	64.25	some	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.22.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.22	219_1	0.01	average	ANImf	219	Pipeline1	94.78	2.536	3799314	15671	325	63.89	some	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.28.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.28	219_1	0.01	average	ANImf	219	Pipeline2	97.17	5.59	4109024	14570	421	63.82	some	Trench
FDZ070-GBkY4-6AP1@3284.fna	FDZ070_GBkY4_6AP1_3284	219_2	0.01	average	ANImf	219	Pipeline3	77.93	0.96	2664910	18187	187	64.18	some	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.19.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.19	219_2	0.01	average	ANImf	219	Pipeline1	85.1	0.956	2876019	17154	207	64.1	some	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.44.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.44	219_2	0.01	average	ANImf	219	Pipeline2	96.55	8.62	3683873	14310	419	63.91	some	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.30.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.30	219_3	0.01	average	ANImf	219	Pipeline1	54.95	0.725	2083997	5735	453	63.98	uniq	Trench
FDZ070-GBkY16-18AP1@12040.fna	FDZ070_GBkY16_18AP1_12040	22_0	0.01	average	ANImf	22	Pipeline3	55.8	1.01	579377	22362	38	31.53	uniq	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.124.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.124	220_1	0.01	average	ANImf	220	Pipeline2	53.45	0	1582919	5884	337	67.85	some	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.62.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.62	220_1	0.01	average	ANImf	220	Pipeline1	53.44	0	1582919	5884	337	67.85	some	Trench
Pipeline1_FDZ070-GBkY0-2AP1_bin.20.fa	Pipeline1_FDZ070_GBkY0_2AP1_bin.20	220_2	0.01	average	ANImf	220	Pipeline1	69.31	3.067	1957541	8191	267	66.61	uniq	Trench
bin.86.fa	bin.86	221_1	0.01	average	ANImf	221	Pipeline4	62.06	0	2907508	5840	561	64.29	some	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.18.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.18	221_1	0.01	average	ANImf	221	Pipeline1	60.34	0	2340480	5452	484	64.35	some	Trench
FDZ070-GBkY0-2AP1@15283.fna	FDZ070_GBkY0_2AP1_15283	222_1	0.01	average	ANImf	222	Pipeline3	77.98	0	2334054	15026	186	64.77	some	Trench
Pipeline1_FDZ070-GBkY0-2AP1_bin.63.fa	Pipeline1_FDZ070_GBkY0_2AP1_bin.63	222_1	0.01	average	ANImf	222	Pipeline1	79.97	1.739	2299805	14245	199	65.03	some	Trench
Pipeline2_FDZ070-GBkY0-2AP1_bin.130.fa	Pipeline2_FDZ070_GBkY0_2AP1_bin.130	222_1	0.01	average	ANImf	222	Pipeline2	88.48	3.48	2540942	13527	284	65.15	some	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.49.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.49	223_1	0.01	average	ANImf	223	Pipeline1	80.09	0.082	2175395	9375	259	63.14	some	Trench
FDZ070-GBkY24-26AP1@2475.fna	FDZ070_GBkY24_26AP1_2475	223_1	0.01	average	ANImf	223	Pipeline3	85.91	2.69	2372526	8785	319	63.18	some	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.78.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.78	223_1	0.01	average	ANImf	223	Pipeline2	92.09	5.35	2960615	7268	552	63.28	some	Trench
Pipeline2_FDZ070-GBkY12-14AP1_bin.50.fa	Pipeline2_FDZ070_GBkY12_14AP1_bin.50	223_2	0.01	average	ANImf	223	Pipeline2	74.78	2.59	2467443	4725	610	62.9	some	Trench
Pipeline1_FDZ070-GBkY12-14AP1_bin.22.fa	Pipeline1_FDZ070_GBkY12_14AP1_bin.22	223_2	0.01	average	ANImf	223	Pipeline1	74.78	2.586	2467443	4725	610	62.9	some	Trench
FDZ070-GBkY16-18AP1@8513.fna	FDZ070_GBkY16_18AP1_8513	223_3	0.01	average	ANImf	223	Pipeline3	55.52	0.05	1673845	9338	215	63.43	some	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.80.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.80	223_3	0.01	average	ANImf	223	Pipeline2	89.16	2.02	2990173	7017	556	62.98	some	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.27.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.27	223_3	0.01	average	ANImf	223	Pipeline1	89.16	2.021	2990173	7017	556	62.98	some	Trench
FDZ070-GBkY28-30AP1@9917.fna	FDZ070_GBkY28_30AP1_9917	224_1	0.01	average	ANImf	224	Pipeline3	81	2.07	2517549	15935	230	59.43	some	Trench
Pipeline1_FDZ070-GBkY28-30AP1_bin.29.fa	Pipeline1_FDZ070_GBkY28_30AP1_bin.29	224_1	0.01	average	ANImf	224	Pipeline1	83.56	0.58	2540033	14451	230	59.38	some	Trench
Pipeline2_FDZ070-GBkY28-30AP1_bin.63.fa	Pipeline2_FDZ070_GBkY28_30AP1_bin.63	224_1	0.01	average	ANImf	224	Pipeline2	89.74	4.06	2734353	13839	299	59.45	some	Trench
FDZ070-GBkY0-2AP1@11377.fna	FDZ070_GBkY0_2AP1_11377	225_1	0.01	average	ANImf	225	Pipeline3	86.36	1.01	2305412	27082	134	62.45	uniq	Trench
FDZ070-GBkY4-6AP1@7826.fna	FDZ070_GBkY4_6AP1_7826	225_2	0.01	average	ANImf	225	Pipeline3	72.41	0.5	1880330	8477	259	61.9	uniq	Trench
FDZ070-GBkY4-6AP1@3056.fna	FDZ070_GBkY4_6AP1_3056	226_1	0.01	average	ANImf	226	Pipeline3	72.57	2.49	1915634	13619	174	62.17	some	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.48.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.48	226_1	0.01	average	ANImf	226	Pipeline1	85.24	1.094	2380042	11620	251	62.4	some	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.13.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.13	226_1	0.01	average	ANImf	226	Pipeline2	93.62	4.58	3085094	10154	418	61.99	some	Trench
FDZ070-GBkY0-2AP1@3695.fna	FDZ070_GBkY0_2AP1_3695	226_2	0.01	average	ANImf	226	Pipeline3	65.86	0	2068153	16156	152	62.45	uniq	Trench
FDZ070-GBkY24-26AP1@15744.fna	FDZ070_GBkY24_26AP1_15744	226_3	0.01	average	ANImf	226	Pipeline3	63.52	2.11	2115449	15111	177	61.77	uniq	Trench
FDZ070-GBkY16-18AP1@5634.fna	FDZ070_GBkY16_18AP1_5634	226_4	0.01	average	ANImf	226	Pipeline3	74.11	1	2299926	15813	184	62.11	uniq	Trench
FDZ070-GBkY16-18AP1@12537.fna	FDZ070_GBkY16_18AP1_12537	227_1	0.01	average	ANImf	227	Pipeline3	87.76	0	2682488	46945	83	60.85	uniq	Trench
FDZ070-GBkY4-6AP1@11262.fna	FDZ070_GBkY4_6AP1_11262	227_2	0.01	average	ANImf	227	Pipeline3	56.85	0.25	1493809	12563	149	61.11	uniq	Trench
FDZ070-GBkY28-30AP1@2390.fna	FDZ070_GBkY28_30AP1_2390	228_1	0.01	average	ANImf	228	Pipeline3	69.98	1.87	2569614	12825	276	63.44	some	Trench
Pipeline2_FDZ070-GBkY28-30AP1_bin.5.fa	Pipeline2_FDZ070_GBkY28_30AP1_bin.5	228_1	0.01	average	ANImf	228	Pipeline2	68.1	1.72	2888300	11145	377	63.52	some	Trench
Pipeline1_FDZ070-GBkY28-30AP1_bin.10.fa	Pipeline1_FDZ070_GBkY28_30AP1_bin.10	228_1	0.01	average	ANImf	228	Pipeline1	68.1	1.724	2888300	11145	377	63.52	some	Trench
FDZ070-GBkY16-18AP1@9253.fna	FDZ070_GBkY16_18AP1_9253	229_1	0.01	average	ANImf	229	Pipeline3	66.38	0	2333682	24276	127	64.36	some	Trench
Pipeline1_FDZ070-GBkY12-14AP1_bin.56.fa	Pipeline1_FDZ070_GBkY12_14AP1_bin.56	229_1	0.01	average	ANImf	229	Pipeline1	87.02	4.228	2803698	12519	296	64.24	some	Trench
FDZ070-GBkY16-18AP1@105548.fna	FDZ070_GBkY16_18AP1_105548	23_0	0.01	average	ANImf	23	Pipeline3	59.66	0	565315	26717	31	42.55	uniq	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.36.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.36	230_1	0.01	average	ANImf	230	Pipeline1	51.53	0	1754792	8012	245	67.21	some	Trench
FDZ070-GBkY24-26AP1@6222.fna	FDZ070_GBkY24_26AP1_6222	230_1	0.01	average	ANImf	230	Pipeline3	52.43	0.43	1538103	6812	272	68.62	some	Trench
FDZ070-GBkY24-26AP1@2342.fna	FDZ070_GBkY24_26AP1_2342	231_1	0.01	average	ANImf	231	Pipeline3	65.52	0	2091414	8320	310	68.42	some	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.80.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.80	231_1	0.01	average	ANImf	231	Pipeline2	82.64	4.58	3260571	6868	637	68.08	some	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.62.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.62	231_1	0.01	average	ANImf	231	Pipeline1	72.75	1.724	2152478	5639	529	69.34	some	Trench
Pipeline1_FDZ070-GBkY16-18AP1_bin.83.fa	Pipeline1_FDZ070_GBkY16_18AP1_bin.83	231_2	0.01	average	ANImf	231	Pipeline1	91.12	5.714	3426378	14697	336	68.13	some	Trench
Pipeline2_FDZ070-GBkY16-18AP1_bin.27.fa	Pipeline2_FDZ070_GBkY16_18AP1_bin.27	231_2	0.01	average	ANImf	231	Pipeline2	96.98	7.06	3907496	14493	390	67.73	some	Trench
FDZ070-GBkY12-14AP1@2342.fna	FDZ070_GBkY12_14AP1_2342	231_3	0.01	average	ANImf	231	Pipeline3	58.62	0.86	1719904	12488	173	68.6	some	Trench
Pipeline1_FDZ070-GBkY12-14AP1_bin.24.fa	Pipeline1_FDZ070_GBkY12_14AP1_bin.24	231_3	0.01	average	ANImf	231	Pipeline1	85.5	1.731	2674958	9979	383	68.7	some	Trench
Pipeline2_FDZ070-GBkY12-14AP1_bin.90.fa	Pipeline2_FDZ070_GBkY12_14AP1_bin.90	231_3	0.01	average	ANImf	231	Pipeline2	91.59	3.25	3273178	9930	481	68.12	some	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.62.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.62	231_4	0.01	average	ANImf	231	Pipeline1	80	5.008	3022402	7294	512	68.08	uniq	Trench
FDZ070-GBkY4-6AP1@3863.fna	FDZ070_GBkY4_6AP1_3863	232_1	0.01	average	ANImf	232	Pipeline3	66.49	0.5	1860643	10806	206	66.66	some	Trench
bin.29.fa	bin.29	232_1	0.01	average	ANImf	232	Pipeline4	67.31	2.608	2031141	8481	314	66.99	some	Trench
Pipeline1_FDZ070-GBkY12-14AP1_bin.8.fa	Pipeline1_FDZ070_GBkY12_14AP1_bin.8	233_1	0.01	average	ANImf	233	Pipeline1	90.43	3.913	3018814	18484	223	63.01	some	Trench
Pipeline2_FDZ070-GBkY12-14AP1_bin.29.fa	Pipeline2_FDZ070_GBkY12_14AP1_bin.29	233_1	0.01	average	ANImf	233	Pipeline2	90	4.57	3146374	18316	267	62.8	some	Trench
FDZ070-GBkY4-6AP1@2566.fna	FDZ070_GBkY4_6AP1_2566	233_2	0.01	average	ANImf	233	Pipeline3	90.65	1.01	2740666	19228	208	63.15	some	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.43.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.43	233_2	0.01	average	ANImf	233	Pipeline1	98.27	9.639	4071689	15163	371	62.31	some	Trench
FDZ070-GBkY24-26AP1@11021.fna	FDZ070_GBkY24_26AP1_11021	234_0	0.01	average	ANImf	234	Pipeline3	75.3	2.61	2924089	11881	318	64.05	uniq	Trench
FDZ070-GBkY24-26AP1@4437.fna	FDZ070_GBkY24_26AP1_4437	235_0	0.01	average	ANImf	235	Pipeline3	58.62	0	2618123	27311	135	64.09	uniq	Trench
FDZ070-GBkY2-4AP1@3495.fna	FDZ070_GBkY2_4AP1_3495	236_1	0.01	average	ANImf	236	Pipeline3	86.3	5.61	2695817	16247	226	63.17	uniq	Trench
FDZ070-GBkY4-6AP1@3495.fna	FDZ070_GBkY4_6AP1_3495	236_2	0.01	average	ANImf	236	Pipeline3	87.17	5.39	2687429	16840	220	63.07	uniq	Trench
FDZ070-GBkY28-30AP1@5416.fna	FDZ070_GBkY28_30AP1_5416	237_0	0.01	average	ANImf	237	Pipeline3	72.41	0	1928120	15035	162	64.71	uniq	Trench
FDZ070-GBkY24-26AP1@2758.fna	FDZ070_GBkY24_26AP1_2758	238_1	0.01	average	ANImf	238	Pipeline3	66.71	0.17	1331189	7117	219	57.9	some	Trench
Pipeline1_FDZ070-GBkY24-26AP1_bin.61.fa	Pipeline1_FDZ070_GBkY24_26AP1_bin.61	238_1	0.01	average	ANImf	238	Pipeline1	82.05	1.815	1923297	6218	383	57.95	some	Trench
Pipeline2_FDZ070-GBkY24-26AP1_bin.71.fa	Pipeline2_FDZ070_GBkY24_26AP1_bin.71	238_1	0.01	average	ANImf	238	Pipeline2	86.02	4.29	2182204	5617	473	57.88	some	Trench
Pipeline1_FDZ070-GBkY4-6AP1_bin.86.fa	Pipeline1_FDZ070_GBkY4_6AP1_bin.86	239_1	0.01	average	ANImf	239	Pipeline1	78.21	1.485	1649599	4974	374	57.48	some	Trench
Pipeline2_FDZ070-GBkY4-6AP1_bin.19.fa	Pipeline2_FDZ070_GBkY4_6AP1_bin.19	239_1	0.01	average	ANImf	239	Pipeline2	82.51	2.48	1860128	4675	438	57.44	some	Trench
Pipeline1_FDZ070-GBkY0-2AP1_bin.45.fa	Pipeline1_FDZ070_GBkY0_2AP1_bin.45	239_2	0.01	average	ANImf	239	Pipeline1	85.97	0.99	1984818	6313	385	57.45	some	Trench
Pipeline2_FDZ070-GBkY0-2AP1_bin.128.fa	Pipeline2_FDZ070_GBkY0_2AP1_bin.128	239_2	0.01	average	ANImf	239	Pipeline2	87.95	1.98	2294980	5777	491	57.39	some	Trench
Pipeline2_FDZ070-GBkY2-4AP1_bin.54.fa	Pipeline2_FDZ070_GBkY2_4AP1_bin.54	239_3	0.01	average	ANImf	239	Pipeline2	52.67	0.33	1422288	3225	469	57.16	some	Trench
